Activity,Sector,201901,201904,201907,201910,202001,202004,202007,202010,202101,202104
"    Agriculture, forestry, fishing, and hunting",1,0.008016032,0.007,0.007992008,0.008,0.008991009,0.006993007,0.008008008,0.009,0.01001001,0.011011011
    Mining,2,0.014028056,0.014,0.012987013,0.013,0.010989011,0.006993007,0.008008008,0.009,0.011011011,0.012012012
    Utilities,2,0.01503006,0.016,0.015984016,0.016,0.014985015,0.016983017,0.017017017,0.016,0.017017017,0.016016016
    Construction,2,0.042084168,0.042,0.041958042,0.042,0.042957043,0.043956044,0.042042042,0.043,0.043043043,0.042042042
    Manufacturing,2,0.112224449,0.111,0.110889111,0.11,0.10989011,0.104895105,0.11011011,0.109,0.111111111,0.111111111
    Wholesale trade,3,0.06012024,0.06,0.05994006,0.059,0.05994006,0.057942058,0.06006006,0.06,0.06006006,0.061061061
    Retail trade,3,0.054108216,0.055,0.054945055,0.055,0.054945055,0.056943057,0.06006006,0.059,0.06006006,0.061061061
    Transportation and warehousing,3,0.032064128,0.032,0.031968032,0.032,0.030969031,0.025974026,0.026026026,0.027,0.027027027,0.027027027
    Information,3,0.052104208,0.053,0.052947053,0.053,0.053946054,0.057942058,0.056056056,0.056,0.056056056,0.057057057
"    Finance, insurance, real estate, rental, and leasing",3,0.20741483,0.208,0.207792208,0.209,0.210789211,0.230769231,0.219219219,0.219,0.216216216,0.213213213
    Professional and business services,3,0.128256513,0.128,0.127872128,0.128,0.127872128,0.12987013,0.127127127,0.129,0.13013013,0.129129129
"    Educational services, health care, and social assistance",3,0.088176353,0.088,0.087912088,0.088,0.086913087,0.082917083,0.087087087,0.087,0.085085085,0.084084084
"    Arts, entertainment, recreation, accommodation, and food services",3,0.042084168,0.043,0.042957043,0.043,0.03996004,0.023976024,0.032032032,0.032,0.032032032,0.036036036
"    Other services, except government",3,0.021042084,0.021,0.020979021,0.021,0.020979021,0.018981019,0.02002002,0.02,0.019019019,0.019019019
    Federal,3,0.038076152,0.038,0.037962038,0.038,0.038961039,0.042957043,0.041041041,0.04,0.039039039,0.038038038
    State and local,3,0.085170341,0.084,0.084915085,0.085,0.086913087,0.091908092,0.086086086,0.085,0.083083083,0.082082082
