"date","confirmed","deaths","recovered","tests","vaccines","people_vaccinated","people_fully_vaccinated","hosp","icu","vent","population","school_closing","workplace_closing","cancel_events","gatherings_restrictions","transport_closing","stay_home_restrictions","internal_movement_restrictions","international_movement_restrictions","information_campaigns","testing_policy","contact_tracing","facial_coverings","vaccination_policy","elderly_people_protection","government_response_index","stringency_index","containment_health_index","economic_support_index"
2020-01-01,NA,NA,NA,25,NA,NA,NA,NA,NA,NA,126190788,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-01-02,NA,NA,NA,97,NA,NA,NA,NA,NA,NA,126190788,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-01-03,NA,NA,NA,186,NA,NA,NA,NA,NA,NA,126190788,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-01-04,NA,NA,NA,231,NA,NA,NA,NA,NA,NA,126190788,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-01-05,NA,NA,NA,312,NA,NA,NA,NA,NA,NA,126190788,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-01-06,NA,NA,NA,478,NA,NA,NA,NA,NA,NA,126190788,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-01-07,NA,NA,NA,662,NA,NA,NA,NA,NA,NA,126190788,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-01-08,NA,NA,NA,831,NA,NA,NA,NA,NA,NA,126190788,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-01-09,NA,NA,NA,1022,NA,NA,NA,NA,NA,NA,126190788,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-01-10,NA,NA,NA,1169,NA,NA,NA,NA,NA,NA,126190788,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-01-11,NA,NA,NA,1214,NA,NA,NA,NA,NA,NA,126190788,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-01-12,NA,NA,NA,1343,NA,NA,NA,NA,NA,NA,126190788,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-01-13,NA,NA,NA,1568,NA,NA,NA,NA,NA,NA,126190788,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-01-14,NA,NA,NA,1807,NA,NA,NA,NA,NA,NA,126190788,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-01-15,NA,NA,NA,2073,NA,NA,NA,NA,NA,NA,126190788,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-01-16,NA,NA,NA,2303,NA,NA,NA,NA,NA,NA,126190788,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-01-17,NA,NA,NA,2488,NA,NA,NA,NA,NA,NA,126190788,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-01-18,NA,NA,NA,2557,NA,NA,NA,NA,NA,NA,126190788,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-01-19,NA,NA,NA,2678,NA,NA,NA,NA,NA,NA,126190788,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-01-20,NA,NA,NA,2970,NA,NA,NA,NA,NA,NA,126190788,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-01-21,NA,NA,NA,3244,NA,NA,NA,NA,NA,NA,126190788,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-01-22,NA,NA,NA,3533,NA,NA,NA,NA,NA,NA,126190788,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-01-23,NA,NA,NA,3797,NA,NA,NA,NA,NA,NA,126190788,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
