"date","confirmed","deaths","recovered","tests","vaccines","people_vaccinated","people_fully_vaccinated","hosp","icu","vent","population","school_closing","workplace_closing","cancel_events","gatherings_restrictions","transport_closing","stay_home_restrictions","internal_movement_restrictions","international_movement_restrictions","information_campaigns","testing_policy","contact_tracing","facial_coverings","vaccination_policy","elderly_people_protection","government_response_index","stringency_index","containment_health_index","economic_support_index"
2020-01-21,1,0,NA,NA,NA,NA,NA,NA,NA,NA,326687501,0,0,0,0,0,0,0,0,0,0,1,0,0,0,3.12,0,3.57,0
2020-01-22,1,0,NA,NA,NA,NA,NA,NA,NA,NA,326687501,0,0,0,0,0,0,0,0,0,0,1,0,0,0,3.12,0,3.57,0
2020-01-23,1,0,NA,NA,NA,NA,NA,NA,NA,NA,326687501,0,0,0,0,0,0,0,0,0,0,1,0,0,0,3.12,0,3.57,0
2020-01-24,2,0,NA,NA,NA,NA,NA,NA,NA,NA,326687501,0,0,0,0,0,0,0,0,0,0,1,0,0,0,3.12,0,3.57,0
2020-01-25,3,0,NA,NA,NA,NA,NA,NA,NA,NA,326687501,0,0,0,0,0,0,0,0,0,0,1,0,0,0,3.12,0,3.57,0
2020-01-26,5,0,NA,NA,NA,NA,NA,NA,NA,NA,326687501,0,0,0,0,0,0,0,0,0,0,1,0,0,0,3.12,0,3.57,0
2020-01-27,5,0,NA,NA,NA,NA,NA,NA,NA,NA,326687501,0,0,0,0,0,0,0,0,0,0,1,0,0,0,3.12,0,3.57,0
2020-01-28,5,0,NA,NA,NA,NA,NA,NA,NA,NA,326687501,0,0,0,0,0,0,0,0,0,0,1,0,0,0,3.12,0,3.57,0
2020-01-29,5,0,NA,NA,NA,NA,NA,NA,NA,NA,326687501,0,0,0,0,0,0,0,0,0,0,1,0,0,0,3.12,0,3.57,0
2020-01-30,6,0,NA,NA,NA,NA,NA,NA,NA,NA,326687501,0,0,0,0,0,0,0,0,0,0,1,0,0,0,3.12,0,3.57,0
2020-01-31,7,0,NA,NA,NA,NA,NA,NA,NA,NA,326687501,0,0,0,0,0,0,0,0,0,0,1,0,0,0,3.12,0,3.57,0
2020-02-01,8,0,NA,NA,NA,NA,NA,NA,NA,NA,326687501,0,0,0,0,0,0,0,0,0,0,1,0,0,0,3.12,0,3.57,0
2020-02-02,11,0,NA,NA,NA,NA,NA,NA,NA,NA,326687501,0,0,0,0,0,0,0,2,0,0,1,0,0,0,6.25,5.56,7.14,0
2020-02-03,11,0,NA,NA,NA,NA,NA,NA,NA,NA,326687501,0,0,0,0,0,0,0,2,0,0,1,0,0,0,6.25,5.56,7.14,0
2020-02-04,11,0,NA,NA,NA,NA,NA,NA,NA,NA,326687501,0,0,0,0,0,0,0,2,0,0,1,0,0,0,6.25,5.56,7.14,0
2020-02-05,12,0,NA,NA,NA,NA,NA,NA,NA,NA,326687501,0,0,0,0,0,0,0,2,0,0,1,0,0,0,6.25,5.56,7.14,0
2020-02-06,12,0,NA,NA,NA,NA,NA,NA,NA,NA,326687501,0,0,0,0,0,0,0,2,0,0,1,0,0,1,8.33,5.56,9.52,0
