"Date","S&P500","Materials","HealthCare","ConsumerStaples","ConsumerDiscretionary","Energy","Financials","Industrials","Technology","Utilities","RealState","CommunicationServices","MexicanStocksIndex","USDMXN"
2018-12-31,249.919998,50.52,86.510002,50.779999,99.010002,57.349998,23.82,64.410004,61.98,52.919998,31,41.279999,41640.269531,19.635
2019-01-02,250.179993,50.779999,85.199997,50.48,99.760002,58.48,24.02,64.739998,62.02,52.009998,30.290001,41.830002,42271.140625,19.6065
2019-01-03,244.210007,49.34,83.470001,50.189999,97.599998,57.900002,23.48,62.77,58.889999,52,30.43,41.130001,42044.320313,19.6095
2019-01-04,252.389999,51.279999,85.959999,51.259998,100.830002,59.869999,24.26,65.150002,61.5,52.77,30.74,42.900002,42455.128906,19.44
2019-01-07,254.380005,51.459999,86.290001,51.189999,103.110001,60.759998,24.290001,65.68,62.049999,52.41,31,43.389999,42834.199219,19.314
2019-01-08,256.769989,52,86.959999,51.66,104.25,61.23,24.309999,66.580002,62.57,53.060001,31.540001,44.119999,43542.871094,19.355
2019-01-09,257.970001,52.02,87.349998,51.18,104.779999,62.200001,24.43,67.029999,63.380001,52.740002,31.41,44.18,43648.070313,19.231
2019-01-10,258.880005,52.48,87.519997,51.48,104.480003,62.380001,24.440001,67.940002,63.66,53.43,31.91,44.27,43668.949219,19.16
2019-01-11,258.980011,52.27,87.809998,51.630001,104.580002,62.009998,24.5,67.870003,63.540001,53.23,31.969999,44.049999,43556.109375,19.12
2019-01-14,257.399994,51.869999,86.839996,51.380001,103.940002,61.860001,24.67,67.860001,62.950001,52.029999,31.870001,43.889999,43397.980469,NA
2019-01-15,260.350006,51.529999,88.400002,51.889999,104.879997,62.080002,24.889999,67.650002,63.900002,52.669998,32.23,44.619999,43603.621094,19.0555
2019-01-16,260.980011,51.73,88.239998,51.610001,104.639999,62,25.42,67.720001,63.959999,52.860001,32.380001,44.43,43819.53125,18.97
2019-01-17,262.959991,52.639999,89.019997,51.830002,105.349998,62.57,25.559999,68.879997,64.370003,53.080002,32.540001,44.610001,43932.078125,19.0535
2019-01-18,266.459991,53.509998,90.080002,52.450001,106.809998,63.84,26,70.190002,65.349998,53.139999,32.66,44.970001,44241.539063,19.113
2019-01-21,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,44028.960938,NA
2019-01-22,262.859985,52.77,89.459999,51.970001,105.209999,62.450001,25.700001,68.739998,64.25,53.240002,32.599998,44.040001,43768.078125,19.1375
2019-01-23,263.410004,52.41,89.559998,52.59,105.419998,61.810001,25.73,68.839996,64.470001,53.779999,32.619999,43.84,43679.671875,19.087
2019-01-24,263.549988,52.130001,88.809998,51.939999,105.860001,62.139999,25.790001,69.190002,65.010002,54.060001,32.75,44.040001,43566.109375,18.986
2019-01-25,265.779999,53.119999,88.919998,51.73,107.029999,62.93,26,70.07,65.93,53.32,33.130001,44.599998,43638.621094,18.9275
2019-01-28,263.76001,53.040001,87.910004,51.950001,106.410004,62.299999,25.92,69.400002,65.050003,53.07,33.459999,44.209999,43626.148438,19.0405
2019-01-29,263.410004,53.59,88.339996,52.07,105.720001,62.490002,25.83,70.360001,64.349998,53.220001,33.720001,43.689999,43700.101563,18.985
2019-01-30,267.579987,54.16,89.550003,52.419998,107.800003,63.369999,25.98,71.459999,66.349998,53.630001,34,44.32,43631.359375,19.1635
2019-01-31,269.929993,53.349998,90.669998,53.389999,108.779999,63.779999,25.940001,71.769997,66.279999,54.759998,34.330002,46.130001,43987.941406,19.0525
2019-02-01,270.059998,53.509998,90.75,53.220001,107.190002,64.889999,26.049999,71.879997,66.669998,54.549999,34.119999,45.970001,43738.269531,19.1275
2019-02-04,271.959991,53.419998,90.489998,53.560001,107.889999,65.040001,26.16,72.809998,67.739998,54.639999,34.32,46.400002,NA,19.0405
2019-02-05,273.100006,53.810001,90.360001,53.57,108.900002,65.139999,26.09,73.440002,68.309998,54.75,34.549999,46.91,44337.101563,19.083
2019-02-06,272.73999,53.490002,90.769997,53.580002,108.449997,64.660004,26.059999,73.459999,68.540001,54.720001,34.279999,45.860001,43855.789063,19.1075
2019-02-07,270.140015,52.75,89.769997,53.540001,107.559998,63.23,25.799999,72.959999,67.599998,55.439999,34.57,45.419998,43624.550781,19.11
2019-02-08,270.470001,52.700001,89.940002,53.790001,107.129997,62.939999,25.67,73.07,67.989998,55.68,34.57,45.73,43180.449219,19.106
2019-02-11,270.619995,52.779999,89.830002,53.93,107.32,63.240002,25.75,73.459999,67.959999,55.66,34.669998,45.259998,43285.171875,19.282
2019-02-12,274.100006,53.959999,91.059998,54.349998,108.970001,64.040001,26.129999,74.599998,68.860001,55.790001,34.43,45.779999,43113.789063,19.2455
2019-02-13,274.98999,54.029999,91.260002,54.450001,109.709999,64.839996,26.200001,75.040001,68.949997,55.630001,34.66,45.810001,42284.058594,19.405
2019-02-14,274.380005,53.75,91.470001,53.84,109.309998,65.07,25.879999,74.690002,69.07,55.540001,34.790001,45.98,42725.21875,19.3485
2019-02-15,277.369995,54.48,92.849998,54.349998,110.059998,66.120003,26.43,75.690002,69.620003,55.709999,35,46.18,42988.71875,19.336
2019-02-18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,42981.308594,NA
2019-02-19,277.850006,54.82,92.629997,54.630001,110.510002,66.32,26.469999,75.660004,69.639999,56.040001,35.040001,46.23,42949.5,19.1855
2019-02-20,278.410004,55.759998,92.519997,54.529999,110.730003,66.599998,26.639999,76.019997,69.720001,56.290001,34.82,46.07,43178,NA
2019-02-21,277.420013,55.540001,91.709999,54.689999,110.510002,65.57,26.5,75.709999,69.75,56.700001,34.880001,45.639999,43577.640625,19.2835
