Month,Monthly Nominal GDP Index,Monthly Real GDP Index
1992 - Jan,6315.892,9486.357
1992 - Feb,6356.405,9527.533
1992 - Mar,6417.009,9606.143
1992 - Apr,6443.254,9612.49
1992 - May,6433.986,9594.652
1992 - Jun,6535.049,9723.168
1992 - Jul,6557.533,9740.577
1992 - Aug,6556.627,9720.763
1992 - Sep,6585.763,9754.881
1992 - Oct,6637.308,9809.7
1992 - Nov,6680.254,9837.504
1992 - Dec,6724.848,9873.595
1993 - Jan,6717.724,9858.487
1993 - Feb,6741.534,9874.087
1993 - Mar,6729.118,9837.497
1993 - Apr,6768.321,9876.149
1993 - May,6824.202,9934.509
1993 - Jun,6834.294,9931.502
1993 - Jul,6832.982,9909.866
1993 - Aug,6873.972,9949.108
1993 - Sep,6939.34,10025.098
1993 - Oct,6944.711,10022.884
1993 - Nov,7036.002,10120.829
1993 - Dec,7060.5,10146.854
1994 - Jan,7074.466,10146.017
1994 - Feb,7122.958,10202.435
1994 - Mar,7149.533,10236.04
1994 - Apr,7186.285,10270.568
1994 - May,7290.267,10369.544
1994 - Jun,7264.241,10358.794
1994 - Jul,7299.037,10361.488
1994 - Aug,7351.721,10432.109
1994 - Sep,7342.468,10386.69
1994 - Oct,7429.13,10481.833
1994 - Nov,7431.809,10475.696
1994 - Dec,7504.925,10580.271
1995 - Jan,7542.18,10582.82
1995 - Feb,7488.285,10506.333
1995 - Mar,7536.402,10560.808
1995 - Apr,7538.95,10528.381
1995 - May,7560.866,10557.831
1995 - Jun,7643.175,10658.586
1995 - Jul,7630.478,10605.777
1995 - Aug,7674.12,10664.017
1995 - Sep,7744.777,10745.181
1995 - Oct,7747.398,10698.948
1995 - Nov,7747.696,10717.292
1995 - Dec,7822.664,10816.671
1996 - Jan,7840.432,10794.608
1996 - Feb,7852.857,10811.185
1996 - Mar,7912.115,10869.255
1996 - Apr,8025.064,11013.007
1996 - May,8009.413,10976.933
1996 - Jun,8064.043,11026.734
1996 - Jul,8099.332,11067.536
1996 - Aug,8122.935,11099.868
1996 - Sep,8171.957,11144.941
1996 - Oct,8251.074,11219.542
1996 - Nov,8281.779,11241.283
1996 - Dec,8246.46,11197.359
1997 - Jan,8309.341,11263.898
1997 - Feb,8385.548,11343.255
1997 - Mar,8393.076,11268.276
1997 - Apr,8512.12,11519.256
1997 - May,8476.282,11409.266
1997 - Jun,8568.073,11509.88
1997 - Jul,8620.793,11602.839
1997 - Aug,8655.771,11632.667
1997 - Sep,8711.904,11633.627
1997 - Oct,8747.991,11708.542
1997 - Nov,8736.432,11684.408
1997 - Dec,8813.298,11775.565
1998 - Jan,8772.576,11713.36
1998 - Feb,8894.376,11886.206
1998 - Mar,8932.488,11920.336
1998 - Apr,8925.742,11895.249
1998 - May,8952.671,11924.861
1998 - Jun,9030.684,12028.475
1998 - Jul,9050.708,12004.168
1998 - Aug,9100.028,12065.034
1998 - Sep,9212.555,12228.212
1998 - Oct,9267.03,12271.163
1998 - Nov,9307.453,12320.84
1998 - Dec,9307.49,12292.005
1999 - Jan,9357.029,12325.457
1999 - Feb,9411.125,12419.734
1999 - Mar,9466.892,12487.007
1999 - Apr,9496.414,12485.986
1999 - May,9534.492,12526.141
1999 - Jun,9547.724,12531.079
1999 - Jul,9660.916,12642.911
1999 - Aug,9660.168,12676.335
1999 - Sep,9738.795,12720.566
1999 - Oct,9814.119,12781.475
1999 - Nov,9891.782,12874.129
1999 - Dec,9994.605,13008.714
2000 - Jan,9922.38,12871.786
2000 - Feb,9999.184,12933.568
2000 - Mar,10084.973,13000.052
2000 - Apr,10225.873,13172.812
2000 - May,10228.73,13148.951
2000 - Jun,10288.557,13189.962
2000 - Jul,10234.356,13101.626
2000 - Aug,10336.682,13208.633
2000 - Sep,10383.457,13240.637
2000 - Oct,10425.306,13265.764
2000 - Nov,10447.167,13266.49
2000 - Dec,10434.759,13254.327
2001 - Jan,10467.18,13247.138
2001 - Feb,10463.225,13220.171
2001 - Mar,10480.288,13190.683
2001 - Apr,10565.284,13291.509
2001 - May,10640.55,13353.008
2001 - Jun,10591.166,13259.999
2001 - Jul,10586.014,13219.426
2001 - Aug,10698.361,13370.64
2001 - Sep,10509.685,13154.609
2001 - Oct,10639.458,13264.909
2001 - Nov,10587.524,13195.793
2001 - Dec,10754.413,13394.518
2002 - Jan,10787.195,13430.43
2002 - Feb,10748.552,13344.689
2002 - Mar,10814.753,13410.264
2002 - Apr,10858.564,13461.711
2002 - May,10870.082,13459.203
2002 - Jun,10933.734,13511.799
2002 - Jul,11001.898,13582.314
2002 - Aug,10951.819,13503.093
2002 - Sep,10998.402,13510.241
2002 - Oct,10999.065,13496.747
2002 - Nov,11052.706,13533.79
2002 - Dec,11132.527,13617.925
2003 - Jan,11136.944,13594.567
2003 - Feb,11210.509,13662.195
2003 - Mar,11174.934,13602.004
2003 - Apr,11257.234,13674.237
2003 - May,11275.42,13689.691
2003 - Jun,11405.644,13860.257
2003 - Jul,11467.81,13894.275
2003 - Aug,11568.107,13969.02
2003 - Sep,11664.09,14048.103
2003 - Oct,11699.656,14064.863
2003 - Nov,11785.235,14145.624
2003 - Dec,11831.811,14184.493
2004 - Jan,11806.505,14100.16
2004 - Feb,11926.852,14225.367
2004 - Mar,12036.984,14312.269
2004 - Apr,12035.914,14267.608
2004 - May,12175.167,14398.385
2004 - Jun,12127.364,14303.914
2004 - Jul,12279.986,14428.047
2004 - Aug,12299.904,14464.576
2004 - Sep,12336.031,14481.746
2004 - Oct,12471.584,14581.534
2004 - Nov,12514.588,14590.221
2004 - Dec,12595.47,14645.903
2005 - Jan,12749.107,14776.306
2005 - Feb,12750.456,14750.381
2005 - Mar,12802.295,14777.763
2005 - Apr,12857.324,14809.88
2005 - May,12883.434,14779.238
2005 - Jun,13027.21,14930.786
2005 - Jul,13096.091,14945.355
2005 - Aug,13152.777,14981.474
2005 - Sep,13179.059,14942.851
2005 - Oct,13234.492,14962.401
2005 - Nov,13299.535,14997.203
2005 - Dec,13438.585,15164.832
2006 - Jan,13518.681,15214.282
2006 - Feb,13567.736,15195.266
2006 - Mar,13711.063,15323.335
2006 - Apr,13694.32,15239.797
2006 - May,13782.627,15312.725
2006 - Jun,13783.324,15292.725
2006 - Jul,13792.023,15245.141
2006 - Aug,13884.518,15303.798
2006 - Sep,13934.023,15365.389
2006 - Oct,13966.402,15367.729
2006 - Nov,14060.185,15476.482
2006 - Dec,14092.093,15457.501
2007 - Jan,14135.369,15444.551
2007 - Feb,14286.268,15546.384
2007 - Mar,14225.316,15446.628
2007 - Apr,14362.868,15575.686
2007 - May,14401.026,15570.025
2007 - Jun,14442.352,15588.144
2007 - Jul,14423.326,15537.655
2007 - Aug,14600.934,15722.348
