Periodo,Total,Primarias,Secundarias,Terciarias
2018/01,111.01183,134.3120505,104.9609837,113.1348753
2018/02,107.8074042,107.9702098,101.0709787,111.4702434
2018/03,111.1885172,90.20823242,104.2003176,116.0542274
2018/04,111.5919,108.230944,103.965178,115.9175168
2018/05,115.8196663,124.8224682,107.4680118,119.9171735
2018/06,114.4370106,126.7282053,106.3013003,118.2510947
2018/07,112.79895,109.3087299,104.6847369,117.3967425
2018/08,114.3258808,89.098115,106.7661259,119.7171463
2018/09,108.7719041,78.87105293,103.6029498,113.0958276
2018/10,115.970519,93.06662304,106.5732671,122.2460077
2018/11,117.743519,157.731434,103.214702,123.6455699
2018/12,113.1193269,159.7268443,97.90568677,119.0609305
2019/01,112.5390986,133.6329545,104.5402528,115.8349213
2019/02,108.8681202,114.3336975,100.978199,112.8922889
2019/03,112.335812,91.85837664,104.1762352,117.8145245
2019/04,109.8573616,106.5198273,100.8645158,114.9262732
2019/05,115.2783256,122.8627263,103.8752035,121.1102346
2019/06,112.872208,127.9185764,102.9540858,117.5187577
2019/07,113.4014034,111.9369677,103.0974629,119.0903929
2019/08,113.2554441,87.6907289,105.3247246,118.8658516
2019/09,108.8632686,83.4198754,101.6202249,114.0928092
2019/10,115.3592142,100.0361836,102.9222797,122.9090967
2019/11,116.2432631,150.0949101,100.9191853,122.8879786
2019/12,113.3262783,154.3618187,96.73263258,120.3007639
2020/01,112.3192115,133.1733447,103.8146705,115.9026977
2020/02,108.7516864,103.0847948,99.9923055,113.8107757
2020/03,109.9008567,98.03457503,99.66404322,116.0775444
2020/04,88.18296561,104.8439779,72.11309196,96.1005574
2020/05,88.92792474,122.2168283,72.51278765,96.19558142
2020/06,97.86374556,122.5569567,86.28086605,102.9312867
2020/07,102.1706416,120.555443,91.47364915,107.0733745
2020/08,102.7054433,90.70804727,95.73641934,107.1079432
2020/09,103.2233479,87.51867417,95.79374092,108.0637007
2020/10,109.1159668,105.5327256,99.19955576,114.7005636
2020/11,110.9085883,155.4152217,96.70544352,116.4054079
2020/12,110.6866762,149.8080575,94.48226341,117.545526
2021/01,105.3813494,132.1890276,97.56299489,108.2908215
2021/02,102.6360313,104.8566046,94.78079969,106.8048521
2021/03,111.4742128,94.00232422,101.1007486,118.0079058
2021/04,107.9275303,103.9844802,97.44565777,113.8384131
2021/05,111.9579108,132.0822315,98.90506614,118.0567997
2021/06,111.1051066,132.8763835,98.01480023,117.1413997
2021/07,109.8551372,120.3532306,98.76768769,115.3681616
2021/08,107.1408147,92.35285843,101.0158206,111.2240081
2021/09,104.1762255,86.58874044,97.30661902,108.806302
